Fecha,Champion,Goles,Stadium,Assistants,City
30-07-1930,Uruguay,4,Estadio Centenario,68346,Montevideo
10-06-1934,Italia,2,Estadio Nacional del PNF,50000,Roma
19-06-1938,Italia,4,Stade Olympique,45124,Colombes
16-07-1950,Uruguay,2,Estadio Maracaná,199150,Río de Janeiro
04-07-1954,Alemania,3,Wankdorfstadion,60000,Berna
29-06-1958,Brasil,5,Estadio Råsunda,51800,Solna
17-06-1962,Brasil,3,Estadio Nacional,68679,Santiago de Chile
30-07-1966,Inglaterra,4,Estadio de Wembley,97924,Londres
21-06-1970,Brasil,4,Estadio Azteca,107412,Ciudad de México
07-07-1974,Alemania,2,Estadio Olímpico,75200,Múnich
25-06-1978,Argentina,3,Estadio Antonio V. Liberti,71483,Buenos Aires
11-07-1982,Italia,3,Estadio Santiago Bernabéu,90000,Madrid
29-06-1986,Argentina,3,Estadio Azteca,114600,Ciudad de México
08-07-1990,Alemania,1,Estadio Olímpico,73603,Roma
17-07-1994,Brasil,0,Estadio Rose Bowl,94194,Pasadena
12-07-1998,Francia,3,Stade de France,80000,Saint-Denis
30-06-2002,Brasil,2,Estadio Internacional de Yokohama,69029,Yokohama
09-07-2006,Italia,1,Estadio Olímpico,69000,Berlín
11-07-2010,España,1,Estadio Soccer City,84490,Johannesburgo
13-07-2014,Alemania,1,Estadio Maracaná,74738,Río de Janeiro
15-07-2018,Francia,4,Estadio Olímpico Luzhnikí,78011,Moscú
18-12-2022,Argentina,3,Estadio Icónico de Lusail,88966,Lusail
